role_kind,role,pack_id,status,question_key,resume_section,resume_row,experience_gate,min_tier,judgement_call,reason
cnc_turner,CNC Turner,qp_cnc_turning,live,turning_experience,,(tier gate — not printed),,easy,,"R1. Tier gate: it sizes the form. The chat's answer usually pre-settles it (#1459), so it is not shown."
cnc_turner,CNC Turner,qp_cnc_turning,live,turning_machine,"MACHINES, CONTROLLERS & CAPABILITY",Machines,,easy,,§4 calibration: primary machines.
cnc_turner,CNC Turner,qp_cnc_turning,live,controller_brand,"MACHINES, CONTROLLERS & CAPABILITY",Controllers,,easy,,§4 calibration: the headline field.
cnc_turner,CNC Turner,qp_cnc_turning,live,turning_operation,"MACHINES, CONTROLLERS & CAPABILITY",Operations,,hard,J1,"The rule says Medium, but Rinku's approved Medium target has no Operations row, and at rank 63 the Hard sheet's 10-row budget drops it for a senior."
cnc_turner,CNC Turner,qp_cnc_turning,live,workholding,"MACHINES, CONTROLLERS & CAPABILITY",Workholding,,hard,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,material_worked,"MACHINES, CONTROLLERS & CAPABILITY",Materials,,medium,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,measuring_tools,"MACHINES, CONTROLLERS & CAPABILITY",Measuring instruments,,medium,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,drawing_reading,"MACHINES, CONTROLLERS & CAPABILITY",Drawings,,medium,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,setting_operation,"MACHINES, CONTROLLERS & CAPABILITY",Setting,>=2,hard,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,tolerance_band,"MACHINES, CONTROLLERS & CAPABILITY",Tolerance held,>=2,hard,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,sector_worked,"MACHINES, CONTROLLERS & CAPABILITY",Sector worked,>=2,hard,,R5: sectors are Hard (as in the CAM calibration).
cnc_turner,CNC Turner,qp_cnc_turning,live,programming_level,"MACHINES, CONTROLLERS & CAPABILITY",Programming,>=5,medium,,§4 calibration. The experience gate still applies: a turner under 5 years is not asked at any tier.
cnc_turner,CNC Turner,qp_cnc_turning,live,advanced_capability,"MACHINES, CONTROLLERS & CAPABILITY",Machine capability,>=5,hard,,§4 calibration.
cnc_turner,CNC Turner,qp_cnc_turning,live,quality_work,"MACHINES, CONTROLLERS & CAPABILITY",Quality,>=5,hard,,R5: specialist screening. The budget drops this row today anyway.
cnc_turner,CNC Turner,qp_cnc_turning,live,troubleshooting,"MACHINES, CONTROLLERS & CAPABILITY",Troubleshooting,>=5,hard,,R5: specialist screening. The budget drops this row today anyway.
cnc_turner,CNC Turner,qp_cnc_turning,live,iti_workshop_machines,WORK HISTORY,Work history — fresher block,<=0,easy,J2,A fresher's stand-in for the current-job line. Without it an Easy fresher's work-history zone is empty (guideline §11 #1).
cnc_turner,CNC Turner,qp_cnc_turning,live,trade_test_status,WORK HISTORY,Work history — fresher block,<=0,medium,J2,"A credential, so it follows Certificates (Medium)."
cnc_turner,CNC Turner,qp_cnc_turning,live,iti_project_work,WORK HISTORY,Work history — fresher block,<=0,medium,J2,"Free text, so it follows job descriptions (Medium)."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,milling_experience,,(tier gate — not printed),,easy,,R1: tier gate.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,milling_machine,"MACHINES, CONTROLLERS & CAPABILITY",Machines,,easy,,"R2: primary machines, as for its turner twin."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,axis_capability,,"(printed on the Machines chip, e.g. ""VMC · 3-axis"")",,easy,J3,R2: it is printed inside the Easy Machines chip. CAM's approved Easy target also shows axes on its machine chips.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,controller_brand,"MACHINES, CONTROLLERS & CAPABILITY",Controllers,,easy,,"R2: the headline field, as for the turner."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,milling_operation,"MACHINES, CONTROLLERS & CAPABILITY",Operations,,medium,J1,"R4: core competence. Unlike the turner, this row survives the Hard budget (10th of 13), so R6 does not force it to Hard."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,material_worked,"MACHINES, CONTROLLERS & CAPABILITY",Materials,,medium,,"R4: materials, as in the turner calibration."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,measuring_tools,"MACHINES, CONTROLLERS & CAPABILITY",Measuring instruments,,medium,,R4: as in the turner calibration.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,drawing_reading,"MACHINES, CONTROLLERS & CAPABILITY",Drawings,,medium,,R4: as in the turner calibration.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,setting_operation,"MACHINES, CONTROLLERS & CAPABILITY",Setting,>=2,hard,,"R5: setting, as in the turner calibration."
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,tolerance_band,"MACHINES, CONTROLLERS & CAPABILITY",Tolerance held,>=2,hard,,R5: as in the turner calibration.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,sector_worked,"MACHINES, CONTROLLERS & CAPABILITY",Sector worked,>=2,hard,,R5: sectors.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,programming_level,"MACHINES, CONTROLLERS & CAPABILITY",Programming,>=5,medium,,R4: as in the turner calibration.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,workholding,"MACHINES, CONTROLLERS & CAPABILITY",Workholding,>=5,hard,,R5: as in the turner calibration.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,quality_work,"MACHINES, CONTROLLERS & CAPABILITY",Quality,>=5,hard,,R5: specialist screening.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,troubleshooting,"MACHINES, CONTROLLERS & CAPABILITY",Troubleshooting,>=5,hard,,R5: specialist screening.
vmc_milling,CNC Machining Centre (VMC),qp_vmc_milling,live,iti_workshop_machines,WORK HISTORY,Work history — fresher block,<=0,easy,J2,A fresher's stand-in for the current-job line. Without it an Easy fresher's work-history zone is empty (guideline §11 #1).
